Protein_IDs,log2FC,AveExpr,t,P,adj.P,B,Majority,Protein,Gene,direction,tier2
P06493;Q00526;P24941;Q14004;Q9NYV4;Q00537;Q00536;Q07002;O94921;Q96Q40;Q00534,-0.1555411652407237,27.247064434929882,-1.2791071917327836,0.20597944149246558,0.6304490063901712,-5.237924243823484,P06493,Cyclin-dependent kinase 1,CDK1,n.s.,n.s.
Q14108,-0.3165747848497489,22.613741854853476,-1.2724701743935594,0.20832075228861377,0.6349868901756814,-5.2457898339789955,Q14108,Lysosome membrane protein 2,SCARB2,n.s.,n.s.
Q9BUN8,0.2982704945152719,20.70787320301973,1.2705559784386768,0.20899651525621352,0.6349868901756814,-5.2480523169235855,Q9BUN8,Derlin-1,DERL1,n.s.,n.s.
O43852,0.3806732907531085,21.338443402140662,1.269090311313181,0.20951503610007488,0.6349868901756814,-5.249782492184456,O43852,Calumenin,CALU,n.s.,n.s.
O75746,-0.3635361711304981,20.04211709953366,-1.2672502931124232,0.2101673468323771,0.6349868901756814,-5.25195191325565,O75746,Calcium-binding mitochondrial carrier protein Aralar1,SLC25A12,n.s.,n.s.
Q9NUH8,-0.28206738032958256,20.419365935565153,-1.2662583235222094,0.2105196383492526,0.6349868901756814,-5.253120236038384,Q9NUH8,Transmembrane protein 14B,TMEM14B,n.s.,n.s.
P04080,0.469300249997751,21.448570200395153,1.2649657418170446,0.2109793479463793,0.6349868901756814,-5.254641320080046,P04080,Cystatin-B,CSTB,n.s.,n.s.
Q03519;Q9NRJ7;Q9NUS5,0.3492574573759235,20.126381525217266,1.2647897679711109,0.21104199101928955,0.6349868901756814,-5.2548482892968025,Q03519,Antigen peptide transporter 2,TAP2,n.s.,n.s.
Q13200,0.1112131498338833,24.013118883918914,1.264702565325741,0.21106226186562338,0.6349868901756814,-5.254955143158079,Q13200,26S proteasome non-ATPase regulatory subunit 2,PSMD2,n.s.,n.s.
Q07507,0.5495202437170796,21.00658731775635,1.2616050061161703,0.2121780873294719,0.6358406946479465,-5.2585893116668005,Q07507,Dermatopontin,DPT,n.s.,n.s.
P39687;O43423;O95626,-0.2631451224435324,22.735897761451188,-1.258235888759906,0.2133848775575259,0.6358406946479465,-5.262537208084241,P39687,Acidic leucine-rich nuclear phosphoprotein 32 family member A,ANP32A,n.s.,n.s.
Q9UMY4,0.11146936438866462,20.72721951354965,1.2571855571432506,0.21375139971391133,0.6358406946479465,-5.2637704555196,Q9UMY4,Sorting nexin-12,SNX12,n.s.,n.s.
Q13232,-0.3612473164437624,21.711078585582488,-1.2561538019858092,0.21413320118793405,0.6358406946479465,-5.264971997085162,Q13232,Nucleoside diphosphate kinase 3,NME3,n.s.,n.s.
Q96HR9,-0.4754114790144186,22.68904556278045,-1.2560478777362931,0.2141713233212483,0.6358406946479465,-5.265095763050229,Q96HR9,Receptor expression-enhancing protein 6,REEP6,n.s.,n.s.
Q8NFU3,-0.3295089113780101,22.317550190601136,-1.2544965617432966,0.2147302174770883,0.6358406946479465,-5.266907252118195,Q8NFU3,Thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 1,TSTD1,n.s.,n.s.
Q7Z2K6,0.3745844967213401,22.023938401907024,1.2541131988851402,0.21486849810335587,0.6358406946479465,-5.26735458372412,Q7Z2K6,Endoplasmic reticulum metallopeptidase 1,ERMP1,n.s.,n.s.
P28070,-0.23172051054039855,22.568958912607485,-1.2538842660761034,0.21495110655355806,0.6358406946479465,-5.267621655228263,P28070,Proteasome subunit beta type-4,PSMB4,n.s.,n.s.
Q8TAT6,0.17280457974626273,20.347127761096935,1.2451311952838464,0.21811655034669178,0.6438545032200462,-5.277803251868653,Q8TAT6,Nuclear protein localization protein 4 homolog,NPLOC4,n.s.,n.s.
P62330,-0.2710095545404059,21.7958416387201,-1.2417803702345904,0.2193522060569773,0.6461502353786952,-5.2816764237890474,P62330,ADP-ribosylation factor 6,ARF6,n.s.,n.s.
P62854;Q5JNZ5,0.2137470582035803,22.801967812577292,1.239636094092491,0.22013577126703618,0.6464968630719404,-5.284154284273622,P62854;Q5JNZ5,40S ribosomal protein S26;Putative 40S ribosomal protein S26-like 1,RPS26;RPS26P11,n.s.,n.s.
O95201,-0.23738087600512614,22.825366301669742,-1.2389625816461731,0.2203862446049634,0.6464968630719404,-5.284929897826584,O95201,Zinc finger protein 205,ZNF205,n.s.,n.s.
Q9BUL8,0.15930726458334732,20.29100833604796,1.2366502837103235,0.22122684223242045,0.6476163369086001,-5.287599568834554,Q9BUL8,Programmed cell death protein 10,PDCD10,n.s.,n.s.
P05198,0.14908240469722855,21.851797708814633,1.2324320372700048,0.22278593678133016,0.6493474255814359,-5.292448506453839,P05198,Eukaryotic translation initiation factor 2 subunit 1,EIF2S1,n.s.,n.s.
Q96PU5,-0.512557604181783,18.080615928095476,-1.2317092834530676,0.22306446924835002,0.6493474255814359,-5.293272563344102,Q96PU5,E3 ubiquitin-protein ligase NEDD4-like,NEDD4L,n.s.,n.s.
P61289,-0.1782072204514975,20.280829802061685,-1.2301338289675279,0.22363876007429853,0.6493474255814359,-5.29508373831351,P61289,Proteasome activator complex subunit 3,PSME3,n.s.,n.s.
P17987,0.1651495941358796,25.06381552807563,1.230101364670851,0.22365899988134502,0.6493474255814359,-5.295116890796119,P17987,T-complex protein 1 subunit alpha,TCP1,n.s.,n.s.
Q14697,0.16668961201380483,25.187132518587255,1.2227300818215303,0.22641297930861673,0.6552416290759158,-5.30353616971347,Q14697,Neutral alpha-glucosidase AB,GANAB,n.s.,n.s.
Q8IY81,0.26722367444336825,20.128066834254625,1.2221836350470985,0.22661794116870795,0.6552416290759158,-5.304158487868701,Q8IY81,Putative rRNA methyltransferase 3,FTSJ3,n.s.,n.s.
P04075,-0.2784138600783592,27.430512728378172,-1.2120926799591019,0.23042730734606157,0.6648935187429302,-5.315603182276976,P04075,Fructose-bisphosphate aldolase A,ALDOA,n.s.,n.s.
P62316,-0.1920741071394758,21.647939048223108,-1.2073367569123947,0.2322283540868212,0.6659866950046244,-5.32097172309437,P62316,Small nuclear ribonucleoprotein Sm D2,SNRPD2,n.s.,n.s.
Q02880,0.21290443741629872,21.09975773229388,1.206098789167045,0.23270246267341402,0.6659866950046244,-5.322363923396818,Q02880,DNA topoisomerase 2-beta,TOP2B,n.s.,n.s.
P36871,0.29416391656025453,20.1053550439319,1.20611349701033,0.23270639556612566,0.6659866950046244,-5.322342088321168,P36871,Phosphoglucomutase-1,PGM1,n.s.,n.s.
O94979,-0.1764914541686302,22.793809775954955,-1.2057117920657372,0.2328496697970179,0.6659866950046244,-5.322799492075033,O94979,Protein transport protein Sec31A,SEC31A,n.s.,n.s.
P06748,-0.17847006936327858,25.4878062351163,-1.2049125267635963,0.2331661426876573,0.6659866950046244,-5.3236918468239525,P06748,Nucleophosmin,NPM1,n.s.,n.s.
Q12929,-0.2626672298791064,23.624598770989273,-1.2005496507168607,0.23484187058023007,0.6694179381589992,-5.3285845128546105,Q12929,Epidermal growth factor receptor kinase substrate 8,EPS8,n.s.,n.s.
O96019,0.16558394643458385,21.21064264094664,1.1958928423806536,0.2366297640795613,0.6727849348253584,-5.333794230394801,O96019,Actin-like protein 6A,ACTL6A,n.s.,n.s.
P21266,-0.5081350514719993,22.87394983208402,-1.1950241344377601,0.23697669213905254,0.6727849348253584,-5.33475684339851,P21266,Glutathione S-transferase Mu 3,GSTM3,n.s.,n.s.
P38919,-0.15509593929454013,24.500157171340003,-1.1916821465170553,0.23826621484844912,0.6738241685090904,-5.338481926023388,P38919,Eukaryotic initiation factor 4A-III,EIF4A3,n.s.,n.s.
Q8NBS9,0.2804786314470036,23.705802143643243,1.1916226849979044,0.23829784556062092,0.6738241685090904,-5.338543032250741,Q8NBS9,Thioredoxin domain-containing protein 5,TXNDC5,n.s.,n.s.
Q8TD06,-0.35960021631550987,22.292975643996122,-1.1903226666818967,0.23880419112588694,0.673905427357253,-5.33998739118129,Q8TD06,Anterior gradient protein 3 homolog,AGR3,n.s.,n.s.
Q5VW32,-0.2605385908272133,21.741772793713007,-1.1889945627694651,0.23932227979832313,0.674019434721425,-5.341461408862708,Q5VW32,BRO1 domain-containing protein BROX,BROX,n.s.,n.s.
P62993,0.25111869377165874,20.903864891281493,1.1870191826510461,0.24009437270313883,0.6745274211965754,-5.343650927119885,P62993,Growth factor receptor-bound protein 2,GRB2,n.s.,n.s.
Q9C0C2,-0.2782859172306331,21.586702436237182,-1.1851809787830803,0.24081446596436132,0.6745274211965754,-5.345685294087216,Q9C0C2,182 kDa tankyrase-1-binding protein,TNKS1BP1,n.s.,n.s.
P07911,-0.2587173173948045,20.678354371724307,-1.184869096160677,0.24093679679877675,0.6745274211965754,-5.346030162086128,P07911,"Uromodulin;Uromodulin, secreted form",UMOD,n.s.,n.s.
P30536,0.2558944063878137,21.15582110997185,1.1821014839442194,0.24202431509363584,0.6759107499534013,-5.349086706837338,P30536,Translocator protein,TSPO,n.s.,n.s.
P28838,-0.37393630685293644,22.435755032503934,-1.1792336876324359,0.24315493444901312,0.6759107499534013,-5.352246732546067,P28838,Cytosol aminopeptidase,LAP3,n.s.,n.s.
P50151,0.42542074119377205,20.460742792704735,1.17855214671474,0.24342418911408964,0.6759107499534013,-5.352996650384003,P50151,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10,GNG10,n.s.,n.s.
P08754;P63096;P19087;P38405;A8MTJ3,-0.14623491064583405,21.320262867844633,-1.177523196948636,0.24382085494216987,0.6759107499534013,-5.354134403912463,P08754,Guanine nucleotide-binding protein G(k) subunit alpha,GNAI3,n.s.,n.s.
P17931,-0.3832869563099912,23.407138704532088,-1.1772439711884002,0.24394160899921738,0.6759107499534013,-5.35443491708832,P17931,Galectin-3,LGALS3,n.s.,n.s.
P30101,0.15472209169167783,27.292407374193534,1.1763025158078309,0.24430509034460288,0.6759107499534013,-5.355474897465068,P30101,Protein disulfide-isomerase A3,PDIA3,n.s.,n.s.
Q3LXA3,-0.44366640864248197,21.231741298925076,-1.1674462516582118,0.24784209234654586,0.6831135513449778,-5.365158698235394,Q3LXA3,Bifunctional ATP-dependent dihydroxyacetone kinase/FAD-AMP lyase (cyclizing);ATP-dependent dihydroxyacetone kinase;FAD-AMP lyase (cyclizing),DAK,n.s.,n.s.
P25686,-0.14241369172558294,27.652269332865096,-1.1673342000911058,0.24787678121093454,0.6831135513449778,-5.365287382022515,P25686,DnaJ homolog subfamily B member 2,DNAJB2,n.s.,n.s.
