Protein_IDs,log2FC,AveExpr,t,P,adj.P,B,Majority,Protein,Gene,direction,tier2
O95168,-1.1915795885265759,20.91550086296881,-4.440360973282763,4.125034974278816e-5,0.028151095395105758,2.0290163763295572,O95168,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4,NDUFB4,Up in OR,Up in OR (T2)
Q9ULV4,0.9312599386127935,20.806337327766464,4.381495264473413,5.053268910561943e-5,0.028151095395105758,1.8468782037239295,Q9ULV4,Coronin-1C,CORO1C,n.s.,Up in PD (T2)
Q53EL6,-1.3973740551117082,23.000160378138016,-4.1604633110897025,1.071588656988136e-4,0.028151095395105758,1.173313516267478,Q53EL6,Programmed cell death protein 4,PDCD4,Up in OR,Up in OR (T2)
P56556,-0.8871465200513846,21.468456398846044,-4.149775140952761,1.110772935194265e-4,0.028151095395105758,1.1411776440491153,P56556,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6,NDUFA6,n.s.,Up in OR (T2)
O00410,0.7467572752352325,22.73853769365876,4.134496897902435,1.1692015304763535e-4,0.028151095395105758,1.095313466546619,O00410,Importin-5,IPO5,n.s.,Up in PD (T2)
P31689,0.6513929761415014,21.94808273421019,4.0847267187616305,1.3780497514366246e-4,0.028151095395105758,0.9481003349749892,P31689,DnaJ homolog subfamily A member 1,DNAJA1,n.s.,Up in PD (T2)
Q6YN16,-0.991487663780898,21.33686532777564,-4.081336275842977,1.3965816283893713e-4,0.028151095395105758,0.9364031908336274,Q6YN16,Hydroxysteroid dehydrogenase-like protein 2,HSDL2,n.s.,Up in OR (T2)
P28329,-0.9515450694388292,23.104630059212358,-4.037236129787938,1.6171155806475555e-4,0.02852187605367126,0.8053861035249197,P28329,Choline O-acetyltransferase,CHAT,n.s.,Up in OR (T2)
P51970,-0.8761010214814213,21.225893874514185,-3.7168663443607612,4.584163202371216e-4,0.065043364757096,-0.12288369571056723,P51970,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8,NDUFA8,n.s.,Up in OR (T2)
Q16790,-0.7235045082890288,21.147412465082574,-3.715119960029471,4.609735276902623e-4,0.065043364757096,-0.12782417186022244,Q16790,Carbonic anhydrase 9,CA9,n.s.,Up in OR (T2)
Q9Y6M9,-0.5047967166857887,21.416013996578634,-3.6841518022860686,5.07902145738902e-4,0.06514999342159916,-0.21412059225270674,Q9Y6M9,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9,NDUFB9,n.s.,n.s.
Q9P0J0,-0.8398997676505786,21.80377096131338,-3.5797029372397797,7.066932998968636e-4,0.07723659730333242,-0.5066980611514751,Q9P0J0,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13,NDUFA13,n.s.,Up in OR (T2)
Q9NX40,-0.6649259574476964,21.601343620352274,-3.5733452548908224,7.202616801942966e-4,0.07723659730333242,-0.5236710983357975,Q9NX40,OCIA domain-containing protein 1,OCIAD1,n.s.,Up in OR (T2)
P55786;A6NEC2,-0.7071854516858629,24.548062707060105,-3.539402200200368,8.012354593780523e-4,0.07723659730333242,-0.6178049709167599,P55786,Puromycin-sensitive aminopeptidase,NPEPPS,n.s.,Up in OR (T2)
O96000,-0.6973757360749282,20.829993477510012,-3.531519901752476,8.210835999645544e-4,0.07723659730333242,-0.6394454456370173,O96000,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10,NDUFB10,n.s.,Up in OR (T2)
P08709,-0.9074756765635179,30.386586537076255,-3.4438858633127554,0.0010756932406887488,0.08420558471023154,-0.8780076812256468,P08709,Coagulation factor VII;Factor VII light chain;Factor VII heavy chain,F7,n.s.,Up in OR (T2)
P47972;P0C7P4,-0.6707329416842462,21.50535264873745,-3.436868044058038,0.001099040576373912,0.08420558471023154,-0.8969484778954397,P47972;P0C7P4,Neuronal pentraxin-2;Putative cytochrome b-c1 complex subunit Rieske-like protein 1,NPTX2;UQCRFS1P1,n.s.,Up in OR (T2)
Q92598,1.1808545781681765,21.81231997009627,3.4326037234783335,0.0011134613809841685,0.08420558471023154,-0.9084457036612594,Q92598,Heat shock protein 105 kDa,HSPH1,n.s.,Up in PD (T2)
P49407,-0.6250945975541526,25.30299287542384,-3.4266542747110256,0.0011338810131072993,0.08420558471023154,-0.9244710954516968,P49407,Beta-arrestin-1,ARRB1,n.s.,Up in OR (T2)
Q9HCB6,-1.2431922699083167,23.572031698665104,-3.3945983440740792,0.0012501559409743785,0.0881985016357424,-1.010510647007731,Q9HCB6,Spondin-1,SPON1,n.s.,Up in OR (T2)
Q15084,0.536581126399934,25.478493238741816,3.373832341060077,0.0013314149045420992,0.08945840144328104,-1.0659698833171039,Q15084,Protein disulfide-isomerase A6,PDIA6,n.s.,n.s.
Q96DH6,-0.5770638422455932,20.8007942800966,-3.3226175216238985,0.001552370619862935,0.09956340657393643,-1.2012066930833578,Q96DH6,RNA-binding protein Musashi homolog 2,MSI2,n.s.,n.s.
P17844,0.3572213121880701,25.377235215933318,3.304624247709018,0.0016381244409614012,0.10049537331289292,-1.24849135848664,P17844,Probable ATP-dependent RNA helicase DDX5,DDX5,n.s.,n.s.
P31785,-0.5402828535406066,23.980238971906832,-3.265566516782735,0.0018424812060924142,0.10382455484173106,-1.3515041766677376,P31785,Cytokine receptor common subunit gamma,IL2RG,n.s.,n.s.
P23528;Q9Y281,0.5172204981093849,26.46858050152349,3.255360326153734,0.0018992051219635436,0.10382455484173106,-1.37810365374287,P23528,Cofilin-1,CFL1,n.s.,n.s.
Q02246,-0.9465259538263382,21.743791057560525,-3.2453205936762926,0.0019566063598658342,0.10382455484173106,-1.4042150441193124,Q02246,Contactin-2,CNTN2,n.s.,n.s.
P00352;P49447,-0.6930474559539554,25.19631472210825,-3.2327323693065284,0.0020308883751513677,0.10382455484173106,-1.4368782231844754,P00352;P49447,Retinal dehydrogenase 1;Cytochrome b561,ALDH1A1;CYB561,n.s.,n.s.
Q15726,0.6486979869783731,19.90059441410391,3.2278670949954917,0.0020603030018203185,0.10382455484173106,-1.449479514597094,Q15726,Metastasis-suppressor KiSS-1;Metastin;Kisspeptin-14;Kisspeptin-13;Kisspeptin-10,KISS1,n.s.,n.s.
P04844,0.3814098870179201,25.188476256901236,3.1822671493737413,0.002354085320860238,0.11151099961022148,-1.5663735341215226,P04844,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,RPN2,n.s.,n.s.
P19397,-0.5073652371076598,19.97925275013074,-3.1764249539112863,0.00239479678080797,0.11151099961022148,-1.5813659057656588,P19397,Leukocyte surface antigen CD53,CD53,n.s.,n.s.
O75487,-0.525367688570114,22.420009938715207,-3.1595212954798115,0.002516077488791961,0.11151099961022148,-1.624567394066446,O75487,Glypican-4;Secreted glypican-4,GPC4,n.s.,n.s.
Q6NUK1,-0.6576432279852433,23.252721427761884,-3.1580678864578826,0.0025289525071063696,0.11151099961022148,-1.6288466700094348,Q6NUK1,Calcium-binding mitochondrial carrier protein SCaMC-1,SLC25A24,n.s.,n.s.
Q8NBX0,-0.9301163312944709,22.888879318508277,-3.141766650224094,0.002651975683714458,0.1133920512036697,-1.6703514093802916,Q8NBX0,Saccharopine dehydrogenase-like oxidoreductase,SCCPDH,n.s.,n.s.
Q9BVK6,-0.5731625061078169,23.44277567197321,-3.1115349547898115,0.002895116116223052,0.12014212010427107,-1.7469329340264679,Q9BVK6,Transmembrane emp24 domain-containing protein 9,TMED9,n.s.,n.s.
Q96NB2,-1.088265335806284,20.08835522211992,-3.0954013562519433,0.003033266152853883,0.12014212010427107,-1.7875920169149664,Q96NB2,Sideroflexin-2,SFXN2,n.s.,n.s.
O00560,0.5735340538411577,19.772689503116545,3.0916793165894303,0.0030652844250558175,0.12014212010427107,-1.7967988535002828,O00560,Syntenin-1,SDCBP,n.s.,n.s.
P22004,-0.7160868374601037,21.032003411516346,-3.056310936645653,0.0033939894631812464,0.12943024682564158,-1.8854943059175273,P22004,Bone morphogenetic protein 6,BMP6,n.s.,n.s.
O95298,-0.5623418584267128,21.424629372143745,-3.0416376526357385,0.0035376998650390764,0.13136038183079307,-1.9217002021765737,O95298,NADH dehydrogenase [ubiquinone] 1 subunit C2,NDUFC2,n.s.,n.s.
Q9HB71,0.7298854598022118,21.398316608086592,3.0301674536027816,0.0036571928104028283,0.13231536039688183,-1.9504833577717156,Q9HB71,Calcyclin-binding protein,CACYBP,n.s.,n.s.
P52292;A8MYJ9,0.764936786329546,20.735463835416322,3.0204813927596184,0.0037594543872353763,0.1326147535097279,-1.9744615043881506,P52292,Importin subunit alpha-2,KPNA2,n.s.,n.s.
P50454,0.6686500077364421,24.60234283162932,3.0000157390879214,0.003984351929013746,0.13712001394727794,-2.0249458518160317,P50454,Serpin H1,SERPINH1,n.s.,n.s.
Q15363,-0.8844998712324532,22.208222210068232,-2.986326829428157,0.004141708700272674,0.13744030230773385,-2.0585771359346716,Q15363,Transmembrane emp24 domain-containing protein 2,TMED2,n.s.,n.s.
Q9UN86,0.7846215601477411,20.96270534450257,2.980892994928029,0.00420576096100024,0.13744030230773385,-2.0718967024417196,Q9UN86,Ras GTPase-activating protein-binding protein 2,G3BP2,n.s.,n.s.
P55795,-0.879058107845399,22.21946285523073,-2.971746926351656,0.004315657612493478,0.13744030230773385,-2.0942766335665977,P55795,Heterogeneous nuclear ribonucleoprotein H2,HNRNPH2,n.s.,n.s.
P17568,-0.6283658881773384,20.098264426069125,-2.966225883503862,0.004383283914846225,0.13744030230773385,-2.1077624871708007,P17568,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7,NDUFB7,n.s.,n.s.
Q00577,-0.7143110893453049,21.85292532959687,-2.9455652491183417,0.004645193231197107,0.14248625324389388,-2.1580688810538966,Q00577,Transcriptional activator protein Pur-alpha,PURA,n.s.,n.s.
P67809;P16989;Q9Y2T7,0.6557567710489458,22.61230473124028,2.9024546545441012,0.005239156882344639,0.1550458081732741,-2.262219919547202,P67809,Nuclease-sensitive element-binding protein 1,YBX1,n.s.,n.s.
P08238;Q58FF7,0.36305105460450093,28.60895042280896,2.8997978401861473,0.005274414452386362,0.1550458081732741,-2.268187128606252,P08238,Heat shock protein HSP 90-beta,HSP90AB1,n.s.,n.s.
P14927,-0.5713114020270567,21.445966993241075,-2.887352797804759,0.005463363112579586,0.15732255820101623,-2.2984405616016836,P14927,Cytochrome b-c1 complex subunit 7,UQCRB,n.s.,n.s.
P25205,0.8791605876906061,21.868417054845015,2.8730714493439184,0.005683532411531298,0.1603892846534132,-2.3325662877227478,P25205,DNA replication licensing factor MCM3,MCM3,n.s.,n.s.
P49815,-0.32149807353524196,20.764192882226077,-2.8479788110040336,0.006086500898298691,0.16693584711172246,-2.391840960565861,P49815,Tuberin,TSC2,n.s.,n.s.
O43570,-1.0199349295282332,21.62301734215593,-2.844305509937511,0.00615213610900749,0.16693584711172246,-2.400926341660946,O43570,Carbonic anhydrase 12,CA12,n.s.,n.s.
Q9UHQ9,-0.8131482247619317,23.494712273972315,-2.8221418233415845,0.006537263835986235,0.17403923155804862,-2.4532505728387104,Q9UHQ9,NADH-cytochrome b5 reductase 1,CYB5R1,n.s.,n.s.
P59998,0.33689550144433156,23.66704404969559,2.8110134478844038,0.006734815789210156,0.1748759556160747,-2.479044940598997,P59998,Actin-related protein 2/3 complex subunit 4,ARPC4,n.s.,n.s.
Q9NX62,-0.4217238206060152,23.175440213488326,-2.806606259135593,0.006816568078585476,0.1748759556160747,-2.489415644864114,Q9NX62,Inositol monophosphatase 3,IMPAD1,n.s.,n.s.
Q96P70,0.5113765494063465,22.250522767582158,2.795073225178388,0.00703467365684914,0.1762484956851647,-2.5164814765573777,Q96P70,Importin-9,IPO9,n.s.,n.s.
P23297,1.5629197465054006,20.18078675921401,2.790802327814214,0.0071198896201661145,0.1762484956851647,-2.5267186316837624,P23297,Protein S100-A1,S100A1,n.s.,n.s.
O15498,0.3953415435108276,20.38358241506931,2.7732293179149012,0.007462810111669458,0.181552156337338,-2.5673040347872935,O15498,Synaptobrevin homolog YKT6,YKT6,n.s.,n.s.
O43169,0.7741841111517225,21.144899070436818,2.7641630724451924,0.0076523505238106585,0.18300790828977692,-2.588686510576656,O43169,Cytochrome b5 type B,CYB5B,n.s.,n.s.
Q13510,-0.9264870252137207,22.332429712386947,-2.7442611560011607,0.008073786220572789,0.1874294256925524,-2.6346909688568587,Q13510,Acid ceramidase;Acid ceramidase subunit alpha;Acid ceramidase subunit beta,ASAH1,n.s.,n.s.
P46977,0.4377982744462052,22.700817919944946,2.7427264813490186,0.008102902173809849,0.1874294256925524,-2.637922997619116,P46977,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A,STT3A,n.s.,n.s.
P39656,0.335691813390536,25.58084311024809,2.705482286495327,0.008952374559179698,0.2014190924667847,-2.723327461296173,P39656,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,DDOST,n.s.,n.s.
P49736,0.4389492751038411,20.82205896796129,2.6986313239792317,0.009116997923862589,0.2014190924667847,-2.7389251205132554,P49736,DNA replication licensing factor MCM2,MCM2,n.s.,n.s.
P09669,-0.5506942312389995,22.377479557847963,-2.695940044666511,0.009187215681789799,0.2014190924667847,-2.7453420076530577,P09669,Cytochrome c oxidase subunit 6C,COX6C,n.s.,n.s.
P09758,-0.7727971307295469,21.90008137479519,-2.692212563723513,0.009278696676357905,0.2014190924667847,-2.75381559944019,P09758,Tumor-associated calcium signal transducer 2,TACSTD2,n.s.,n.s.
Q13404;Q15819,-0.35776305594554714,20.575169901432513,-2.6742785084250724,0.009725582792763131,0.2062246398028493,-2.7941674544709167,Q13404,Ubiquitin-conjugating enzyme E2 variant 1,UBE2V1,n.s.,n.s.
O75369,-0.6601284121095539,27.882868701932324,-2.6718865192448753,0.009792381904174984,0.2062246398028493,-2.7998649160122637,O75369,Filamin-B,FLNB,n.s.,n.s.
Q15942,0.38711228533862396,20.607015444073745,2.6463373709439457,0.010469689266162204,0.21724605227286573,-2.8570893453556634,Q15942,Zyxin,ZYX,n.s.,n.s.
O43670,-0.3562250696533127,20.30244646757962,-2.63138442074897,0.010888916609693816,0.22069722839239087,-2.8905537276928035,O43670,Zinc finger protein 207,ZNF207,n.s.,n.s.
Q9P2M7,-0.7435451527938532,21.191009897990828,-2.6227254817752423,0.011144025591798723,0.22069722839239087,-2.910133255700043,Q9P2M7,Cingulin,CGN,n.s.,n.s.
P02751,0.9198911394914262,26.433960783677154,2.6173515373996774,0.01130165396161403,0.22069722839239087,-2.922091311186885,P02751,Fibronectin;Anastellin;Ugl-Y1;Ugl-Y2;Ugl-Y3,FN1,n.s.,n.s.
P04843,0.28190128422277994,25.694059777903878,2.613881569273237,0.011399046365586748,0.22069722839239087,-2.9295386931823253,P04843,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,RPN1,n.s.,n.s.
Q09028,0.2872965845864712,23.21974747913213,2.613242739264311,0.011418070639719726,0.22069722839239087,-2.9309577832004643,Q09028,Histone-binding protein RBBP4,RBBP4,n.s.,n.s.
P60660;P14649,0.2882560504729419,25.597671427949333,2.60427917306168,0.011688071018534555,0.22286308388043594,-2.9508409998950267,P60660,Myosin light polypeptide 6,MYL6,n.s.,n.s.
P00403,-0.4900229312927422,23.471293739754003,-2.5822265342975723,0.012382949990262102,0.2260083035237929,-2.9997825469965416,P00403,Cytochrome c oxidase subunit 2,MT-CO2,n.s.,n.s.
Q96AG4,0.8351598992690263,23.10366617971237,2.5790340986908444,0.012485746929122833,0.2260083035237929,-3.0068032693104025,Q96AG4,Leucine-rich repeat-containing protein 59,LRRC59,n.s.,n.s.
P61026,0.253792448588694,23.705245602901893,2.5759261755392244,0.012580817840928115,0.2260083035237929,-3.013384585390968,P61026,Ras-related protein Rab-10,RAB10,n.s.,n.s.
P22694,-0.40856227373244636,24.420828622874005,-2.575137436954219,0.012612270595817163,0.2260083035237929,-3.0153635328336277,P22694,cAMP-dependent protein kinase catalytic subunit beta,PRKACB,n.s.,n.s.
Q8NF37,1.1613636410051207,18.507444633567083,2.573863034621091,0.012653902181700665,0.2260083035237929,-3.018160974573346,Q8NF37,Lysophosphatidylcholine acyltransferase 1,LPCAT1,n.s.,n.s.
P13796,0.990087140460119,22.582957117008352,2.5649448005480995,0.012948749096543616,0.22838356219028802,-3.037707143330222,P13796,Plastin-2,LCP1,n.s.,n.s.
P49755,-0.42963059836867146,24.402326013453493,-2.5563599010277303,0.013238452525005643,0.2306105742318884,-3.0564726382825995,P49755,Transmembrane emp24 domain-containing protein 10,TMED10,n.s.,n.s.
Q13509,1.1784805724161416,20.71540090501189,2.5422348364661382,0.013727929948902635,0.23622084338904412,-3.0872409524975812,Q13509,Tubulin beta-3 chain,TUBB3,n.s.,n.s.
P11387,0.44523956541494414,22.29824264487812,2.524040894496553,0.014376926036706594,0.2444077426240121,-3.1264686985344063,P11387,DNA topoisomerase 1,TOP1,n.s.,n.s.
P49321,0.5553510988836194,20.822214588229905,2.5141052275026836,0.014751854915265917,0.24670618228837538,-3.1481156722814583,P49321,Nuclear autoantigenic sperm protein,NASP,n.s.,n.s.
O43707,0.3309741999485851,27.095827734498172,2.5108572386445127,0.014868701340312426,0.24670618228837538,-3.1549087746115867,O43707,Alpha-actinin-4,ACTN4,n.s.,n.s.
Q9Y295,0.3152108533595346,19.97161978563918,2.5064309643408995,0.015036663130262426,0.24670618228837538,-3.1644125952325073,Q9Y295,Developmentally-regulated GTP-binding protein 1,DRG1,n.s.,n.s.
O14949,-0.5377235815448316,21.491900477267546,-2.498683609543906,0.01534206410895969,0.24882359146830021,-3.181262402164654,O14949,Cytochrome b-c1 complex subunit 8,UQCRQ,n.s.,n.s.
P18440,-1.3134273776089067,23.846547467889206,-2.4880684796425547,0.01576062861642263,0.24930080720442935,-3.2039843900696874,P18440,Arylamine N-acetyltransferase 1,NAT1,n.s.,n.s.
P27797,0.418083711876978,25.178128552138237,2.487118194587283,0.015798597366529703,0.24930080720442935,-3.2060147618664625,P27797,Calreticulin,CALR,n.s.,n.s.
Q99805,0.3800307625740089,23.353832688806513,2.48448511377245,0.015901539793337097,0.24930080720442935,-3.211549971640281,Q99805,Transmembrane 9 superfamily member 2,TM9SF2,n.s.,n.s.
Q01813,0.8578246168759378,20.535092195629137,2.4795520413642183,0.01610386112131634,0.2496983301338171,-3.2221585787666185,Q01813,6-phosphofructokinase type C,PFKP,n.s.,n.s.
P27348,0.5401016280858428,24.05508141665188,2.4710030808952506,0.016455170619275834,0.2523722363456326,-3.2403523586795564,P27348,14-3-3 protein theta,YWHAQ,n.s.,n.s.
P31146,0.8401618129533084,20.59082833275837,2.4523864744619357,0.017244203933366207,0.26162980376322276,-3.279798733808634,P31146,Coronin-1A,CORO1A,n.s.,n.s.
Q92878,-0.5596725107555649,21.599521328297744,-2.446942456246811,0.017481289291759787,0.26170552841284733,-3.2912889614394896,Q92878,DNA repair protein RAD50,RAD50,n.s.,n.s.
P33991,0.613220671390021,20.08263753506999,2.4437847713854053,0.017620145428221472,0.26170552841284733,-3.297944265134856,P33991,DNA replication licensing factor MCM4,MCM4,n.s.,n.s.
P33993,0.5568257931198026,20.788536885879083,2.415903592986375,0.01888989483204618,0.276825801209669,-3.356409107906809,P33993,DNA replication licensing factor MCM7,MCM7,n.s.,n.s.
Q7Z2W4,0.301199982148173,20.209777389758226,2.4065507411370817,0.0193268111994461,0.276825801209669,-3.37572028103736,Q7Z2W4,Zinc finger CCCH-type antiviral protein 1,ZC3HAV1,n.s.,n.s.
O00571;O15523;Q9NQI0,0.22733694944082217,24.18284327746201,2.406040627733435,0.019351289493591578,0.276825801209669,-3.376781796889016,O00571;O15523,ATP-dependent RNA helicase DDX3X;ATP-dependent RNA helicase DDX3Y,DDX3X;DDX3Y,n.s.,n.s.
Q13596,-0.3431144661682666,21.7004710354979,-2.404550997211593,0.019422930063612495,0.276825801209669,-3.3798805918936043,Q13596,Sorting nexin-1,SNX1,n.s.,n.s.
Q9UBS4,0.4860468166314007,21.137054974876566,2.3951519024250545,0.01988762774891785,0.28061442753723087,-3.399573621508374,Q9UBS4,DnaJ homolog subfamily B member 11,DNAJB11,n.s.,n.s.
Q9NWH9,0.38576395365624805,20.969060930313823,2.3905417303904306,0.02010839550795064,0.2809202580368154,-3.4089475134303906,Q9NWH9,SAFB-like transcription modulator,SLTM,n.s.,n.s.
P49189,-0.6738355913754432,22.772669264183754,-2.3853996180979435,0.020372618728564294,0.2818212257451394,-3.419755050893276,P49189,4-trimethylaminobutyraldehyde dehydrogenase,ALDH9A1,n.s.,n.s.
P00387,0.434666490642595,24.155264842616287,2.3672692700913625,0.021302469128941074,0.28574315390269506,-3.457096963312651,P00387,NADH-cytochrome b5 reductase 3;NADH-cytochrome b5 reductase 3 membrane-bound form;NADH-cytochrome b5 reductase 3 soluble form,CYB5R3,n.s.,n.s.
Q9Y490;Q9Y4G6,0.3801443747163873,25.036224224030853,2.3615495929659898,0.021603586246184386,0.28574315390269506,-3.4688294772212984,Q9Y490,Talin-1,TLN1,n.s.,n.s.
O43813,-0.33675436902525036,20.256708440362633,-2.3580260633782975,0.021783516273873284,0.28574315390269506,-3.475882023711734,O43813,LanC-like protein 1,LANCL1,n.s.,n.s.
Q16543,0.32534807816042743,21.962440050616472,2.3553289583311225,0.021927909859877807,0.28574315390269506,-3.4814006733705276,Q16543,Hsp90 co-chaperone Cdc37,CDC37,n.s.,n.s.
Q96I85,-0.6790495229683238,21.047592676813327,-2.354332854323541,0.021988939107831406,0.28574315390269506,-3.4835999498022945,Q96I85,Putative uncharacterized protein C14orf144,C14orf144,n.s.,n.s.
O75943,-0.3449447686863998,23.34479216435239,-2.352571542859451,0.022077042768213265,0.28574315390269506,-3.487050964422607,O75943,Cell cycle checkpoint protein RAD17,RAD17,n.s.,n.s.
P42081,-0.6592453365763227,21.409625375907346,-2.344139973689334,0.02254366186240044,0.28574315390269506,-3.504399029148957,P42081,T-lymphocyte activation antigen CD86,CD86,n.s.,n.s.
Q9Y5M8,0.3643074605417098,21.647224863868384,2.343624238608703,0.022564487373243444,0.28574315390269506,-3.5052905803240684,Q9Y5M8,Signal recognition particle receptor subunit beta,SRPRB,n.s.,n.s.
O15533,0.640556122612761,21.189364932904997,2.34343608366678,0.022582426177117285,0.28574315390269506,-3.505832639463926,O15533,Tapasin,TAPBP,n.s.,n.s.
P49585;Q9Y5K3,0.6003524182000817,22.598158529324035,2.340819655249675,0.022727038610409256,0.28574315390269506,-3.5111584344270903,P49585,Choline-phosphate cytidylyltransferase A,PCYT1A,n.s.,n.s.
Q15691,0.44661706904479814,23.198102401217245,2.338000964583771,0.022883753643518457,0.28574315390269506,-3.516890511997406,Q15691,Microtubule-associated protein RP/EB family member 1,MAPRE1,n.s.,n.s.
P00491,0.6439256515121237,20.117850676157662,2.3326400279350787,0.02318447416215897,0.2869587109018097,-3.5277769438154927,P00491,Purine nucleoside phosphorylase,PNP,n.s.,n.s.
P24723,-0.7125106536361301,23.145603564820995,-2.3263730472518334,0.023540478926991435,0.2888314414433471,-3.540477407858763,P24723,Protein kinase C eta type,PRKCH,n.s.,n.s.
Q8NBJ5,0.6235319076605919,19.84501795437334,2.3198778848496997,0.023914574844851832,0.2892341250187425,-3.5536108276625504,Q8NBJ5,Procollagen galactosyltransferase 1,GLT25D1,n.s.,n.s.
P08493,-0.7113361647290546,21.293865959086986,-2.3186950348949273,0.023983269048329463,0.2892341250187425,-3.5559993542855715,P08493,Matrix Gla protein,MGP,n.s.,n.s.
Q7KZF4,0.32169315951380995,25.028844700537906,2.313357359438975,0.02429544411402459,0.29051586139736185,-3.5667653098401253,Q7KZF4,Staphylococcal nuclease domain-containing protein 1,SND1,n.s.,n.s.
P08651,-0.23380709241398634,20.599517100403567,-2.3086754762214996,0.024564385836841448,0.29084846913233536,-3.5760441183969465,P08651,Nuclear factor 1 C-type,NFIC,n.s.,n.s.
Q9BTV4,0.4375222565594399,21.837768071383586,2.3017435159955117,0.024984048562698005,0.29084846913233536,-3.5900618919727685,Q9BTV4,Transmembrane protein 43,TMEM43,n.s.,n.s.
Q13162,0.6319440720170704,22.746504757106013,2.298179351054136,0.025202971108004908,0.29084846913233536,-3.597267803289802,Q13162,Peroxiredoxin-4,PRDX4,n.s.,n.s.
Q15056,0.2811741688179161,22.949341205450374,2.2975639839881437,0.025232455123952845,0.29084846913233536,-3.59835674841448,Q15056,Eukaryotic translation initiation factor 4H,EIF4H,n.s.,n.s.
O60502,0.27395684113748686,19.956309729786312,2.2955721075967785,0.025353906239034198,0.29084846913233536,-3.6023472258719687,O60502,Bifunctional protein NCOAT;Protein O-GlcNAcase;Histone acetyltransferase,MGEA5,n.s.,n.s.
Q9Y446,-0.6099236697226864,22.116261553359493,-2.2901350454315694,0.025696063519759164,0.2923963356966144,-3.6133671969192083,Q9Y446,Plakophilin-3,PKP3,n.s.,n.s.
Q8NC51,0.4920998474467986,20.979274282598322,2.281782809689295,0.026217072984300586,0.29593831984678504,-3.630033725982461,Q8NC51,Plasminogen activator inhibitor 1 RNA-binding protein,SERBP1,n.s.,n.s.
Q9Y3B3,-0.39159933364574684,23.444623870669346,-2.267602530130873,0.027123113023627646,0.3037358133042746,-3.658214929253086,Q9Y3B3,Transmembrane emp24 domain-containing protein 7,TMED7,n.s.,n.s.
P13674,0.6369620186882621,20.624429710357603,2.2634096876649195,0.027396272367696862,0.3043790575655139,-3.6665198087856754,P13674,Prolyl 4-hydroxylase subunit alpha-1,P4HA1,n.s.,n.s.
O00429,0.3376560240612534,21.27613758168172,2.2571176676726936,0.027802504871102772,0.3058073092217704,-3.6788266197742057,O00429,Dynamin-1-like protein,DNM1L,n.s.,n.s.
P50570;Q05193;Q9UQ16,0.29956714647057936,21.21237354477252,2.2498875771156004,0.028285574921422262,0.3058073092217704,-3.6930867997046737,P50570,Dynamin-2,DNM2,n.s.,n.s.
Q8NCW5,-0.48097306138103235,22.708524856130566,-2.247547487575329,0.028451838059227262,0.3058073092217704,-3.697823494118657,Q8NCW5,NAD(P)H-hydrate epimerase,APOA1BP,n.s.,n.s.
Q5SSJ5,-0.48572809685567364,23.2283370873527,-2.2466604811846334,0.02851191229849767,0.3058073092217704,-3.6995686000293904,Q5SSJ5,Heterochromatin protein 1-binding protein 3,HP1BP3,n.s.,n.s.
O75367,-0.3192532642707029,26.00687758932858,-2.2452381031830133,0.028608479672057898,0.3058073092217704,-3.7023658103451966,O75367,Core histone macro-H2A.1,H2AFY,n.s.,n.s.
Q16401,-0.48977292931893857,21.870506086262615,-2.238942100643311,0.0290394043591905,0.3080796958708105,-3.7147297209057135,Q16401,26S proteasome non-ATPase regulatory subunit 5,PSMD5,n.s.,n.s.
P54652,-0.877816365064394,21.86359977495765,-2.2212203371090595,0.03028328224387604,0.3163922645876482,-3.7493763984328394,P54652,Heat shock-related 70 kDa protein 2,HSPA2,n.s.,n.s.
P11047,0.48128146340688005,20.346465382309603,2.220521386614535,0.030333289860453333,0.3163922645876482,-3.750738178940677,P11047,Laminin subunit gamma-1,LAMC1,n.s.,n.s.
Q9NR30,0.6821878831980719,21.858433081693704,2.2157060443008993,0.030679794512957385,0.3163922645876482,-3.7601103194709857,Q9NR30,Nucleolar RNA helicase 2,DDX21,n.s.,n.s.
Q14566,0.4452638931070467,20.707522690838356,2.2112511613016945,0.03100346217975816,0.3163922645876482,-3.7687658027874837,Q14566,DNA replication licensing factor MCM6,MCM6,n.s.,n.s.
Q9UHG3,-0.44352871676816363,22.65699592433881,-2.2084036178692754,0.031211921436367304,0.3163922645876482,-3.7742907465555122,Q9UHG3,Prenylcysteine oxidase 1,PCYOX1,n.s.,n.s.
Q99623,-0.31375684915015256,25.452576436257772,-2.2077377524515667,0.031260844922073185,0.3163922645876482,-3.7755818350304704,Q99623,Prohibitin-2,PHB2,n.s.,n.s.
