Protein_IDs,Gene,log2FC,P,adj.P,direction
O95168,NDUFB4,-1.1915795885265759,4.125034974278816e-5,0.028151095395105758,Up in OR
Q53EL6,PDCD4,-1.3973740551117082,1.071588656988136e-4,0.028151095395105758,Up in OR
